0.00 	  2	   0
2.84 	 21	  46
3.36 	 27	  85
4.08 	 35	 134
4.73 	 43	 200
5.02 	 45	 235
5.45 	 52	 300
5.78 	 55	 350
6.10 	 58	 400
6.48 	 62	 450
6.79 	 65	 500
7.21 	 69	 560
7.49 	 71	 600
7.95 	 74	 670
8.43 	 78	 750
8.78 	 81	 800
9.33 	 85	 900
9.78 	 88	 950
10.26 	 92	1000
10.62 	 92	1050
